timestamp,lot_id,metric,value
2026-08-05T08:00:00Z,LOT-1001,thickness_um,100.2
2026-08-05T08:05:00Z,LOT-1001,thickness_um,100.8
2026-08-05T08:10:00Z,LOT-1001,thickness_um,101.1
2026-08-05T08:15:00Z,LOT-1001,thickness_um,99.9
2026-08-05T08:20:00Z,LOT-1001,thickness_um,128.5
2026-08-05T08:00:00Z,LOT-1001,resistance_ohm,12.1
2026-08-05T08:05:00Z,LOT-1001,resistance_ohm,12.0
2026-08-05T08:10:00Z,LOT-1001,resistance_ohm,12.3
2026-08-05T08:15:00Z,LOT-1001,resistance_ohm,11.9
2026-08-05T08:20:00Z,LOT-1001,resistance_ohm,12.2
2026-08-05T09:00:00Z,LOT-1002,thickness_um,98.5
2026-08-05T09:05:00Z,LOT-1002,thickness_um,98.8
2026-08-05T09:10:00Z,LOT-1002,thickness_um,99.0
2026-08-05T09:15:00Z,LOT-1002,thickness_um,98.2
2026-08-05T09:20:00Z,LOT-1002,thickness_um,97.9
2026-08-05T09:00:00Z,LOT-1002,resistance_ohm,14.0
2026-08-05T09:05:00Z,LOT-1002,resistance_ohm,14.2
2026-08-05T09:10:00Z,LOT-1002,resistance_ohm,13.8
2026-08-05T09:15:00Z,LOT-1002,resistance_ohm,31.2
2026-08-05T09:20:00Z,LOT-1002,resistance_ohm,14.1
